query_id,category,strict_reference_cypher,relaxed_reference_cypher
q076,aggregate,"MATCH (l:Location {prefecture_en:'Okayama Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2019}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Okayama Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2019}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q077,aggregate,"MATCH (l:Location {prefecture_en:'Miyagi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2020}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Miyagi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2020}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q080,aggregate,"MATCH (l:Location {prefecture_en:'Gunma Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2024}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Gunma Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2024}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q081,aggregate,"MATCH (l:Location {prefecture_en:'Hokkaido Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2023}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Hokkaido Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2023}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q082,aggregate,"MATCH (l:Location {prefecture_en:'Tochigi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2024}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Tochigi Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Autumn',year:2024}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q083,aggregate,"MATCH (l:Location {prefecture_en:'Kyoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2018}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Kyoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Summer',year:2018}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q085,aggregate,"MATCH (l:Location {prefecture_en:'Tottori Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2024}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Tottori Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2024}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q088,aggregate,"MATCH (l:Location {prefecture_en:'Ibaraki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2020}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n","MATCH (l:Location {prefecture_en:'Ibaraki Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {season:'Winter',year:2020}) RETURN round(avg(p.pm25),2) AS avg_pm25, max(p.pm25) AS max_pm25, count(p) AS n"
q092,temporal,"MATCH (l:Location {prefecture_en:'Aomori Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2020}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN t.season AS season, round(avg(p.pm25),2) AS avg_pm25 ORDER BY avg_pm25 DESC","MATCH (l:Location {prefecture_en:'Aomori Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2020}) RETURN t.season AS season, round(avg(p.pm25),2) AS avg_pm25 ORDER BY avg_pm25 DESC"
q093,temporal,"MATCH (l:Location {prefecture_en:'Iwate Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN t.year AS year, round(avg(p.pm25),2) AS avg_pm25, count(p) AS n ORDER BY year","MATCH (l:Location {prefecture_en:'Iwate Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime) RETURN t.year AS year, round(avg(p.pm25),2) AS avg_pm25, count(p) AS n ORDER BY year"
q094,temporal,"MATCH (l:Location {prefecture_en:'Gunma Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2025}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month","MATCH (l:Location {prefecture_en:'Gunma Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2025}) RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month"
q095,temporal,"MATCH (l:Location {prefecture_en:'Tottori Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2025}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month","MATCH (l:Location {prefecture_en:'Tottori Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2025}) RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month"
q097,temporal,"MATCH (l:Location {prefecture_en:'Tokushima Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2025}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month","MATCH (l:Location {prefecture_en:'Tokushima Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2025}) RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month"
q098,temporal,"MATCH (l:Location {prefecture_en:'Kumamoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2022}) WHERE p.pm25 >= 0 AND p.pm25 <= 500 RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month","MATCH (l:Location {prefecture_en:'Kumamoto Prefecture'})<-[:LOCATED_AT]-(s:Station)<-[:RECORDED_BY]-(p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime {year:2022}) RETURN t.month AS month, round(avg(p.pm25),2) AS avg_pm25 ORDER BY month"
