question_id,category,complexity,retrieval_k,retrieved_exemplar_ids,generated_cypher,CV,ES,EM,VM_F1_strict,VM_F1_tolerant,RMEM_strict,RMEM_tolerant,generation_latency,execution_status,execution_error,gold_has_validity_filter,reference_ok
q023,station_filtering,complex,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Tokushima Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
  AND p.pm25 >= 0 AND p.pm25 <= 500
  AND (p)-[:OBSERVED_AT]->(t:ObservationTime)
  AND t.season = 'Spring'
RETURN DISTINCT s.stationname_en AS station,
                s.stationtype_en AS type,
                count(p) AS unhealthy_count
ORDER BY unhealthy_count DESC",0.0,0.0,0.0,0.0,0.0,0,0,14.625,execution_failure,SyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: PatternExpressions are not allowed to introdu,0,1
q024,station_filtering,complex,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Tokushima Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
  AND p.pm25 >= 0 AND p.pm25 <= 500
  AND (p)-[:OBSERVED_AT]->(t:ObservationTime)
  AND t.season = 'Autumn'
RETURN DISTINCT s.stationname_en AS station,
                s.stationtype_en AS type,
                count(p) AS unhealthy_count
ORDER BY unhealthy_count DESC",0.0,0.0,0.0,0.0,0.0,0,0,14.702,execution_failure,SyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: PatternExpressions are not allowed to introdu,0,1
q027,station_filtering,complex,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Nagano Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
  AND p.pm25 >= 0 AND p.pm25 <= 500
  AND (p)-[:OBSERVED_AT]->(t:ObservationTime)
  AND t.season = 'Spring'
RETURN s.stationname_en AS station,
       s.stationtype_en AS type,
       count(DISTINCT p) AS unhealthy_count
ORDER BY unhealthy_count DESC",0.0,0.0,0.0,0.0,0.0,0,0,14.883,execution_failure,SyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: PatternExpressions are not allowed to introdu,0,1
q028,station_filtering,simple,1,JP28,"MATCH (s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Okayama Prefecture' AND s.stationtype_en = 'General Station'
RETURN s.stationname_en AS station,
       s.stationtype_en AS type,
       l.city_en AS city,
       l.lat AS lat,
       l.lon AS lon
ORDER BY s.stationname_en",1.0,1.0,0.0,0.3333,0.3333,0,0,8.858,executed,,0,1
q029,station_filtering,complex,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
      -[:AT_LOCATION]-(t:ObservationTime)
WHERE l.prefecture_en = 'Tochigi Prefecture'
  AND t.season = 'Autumn'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
RETURN s.stationname_en AS station,
       s.stationtype_en AS type,
       count(DISTINCT p) AS unhealthy_count
ORDER BY unhealthy_count DESC",1.0,1.0,0.0,0.381,0.381,0,0,16.027,executed,,0,1
q030,station_filtering,medium,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Mie Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
WITH s.stationname_en AS station, s.stationtype_en AS type, count(p) AS unhealthy_count
ORDER BY unhealthy_count DESC
RETURN station, type, unhealthy_count",1.0,1.0,0.0,0.6957,0.6957,0,0,15.877,executed,,0,1
q032,station_filtering,simple,1,JP06,"MATCH (s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Hiroshima Prefecture' AND s.stationtype_en = 'Roadside Station'
RETURN s.stationname_en AS station,
       s.stationtype_en AS type,
       l.city_en AS city,
       l.lat AS lat,
       l.lon AS lon
ORDER BY s.stationname_en",1.0,1.0,0.0,0.3333,0.3333,0,0,8.978,executed,,0,1
q034,station_filtering,complex,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Fukui Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
  AND t.season = 'Spring'
WITH s.stationname_en AS station, s.stationtype_en AS type, count(DISTINCT p) AS unhealthy_count
ORDER BY unhealthy_count DESC
RETURN station, type, unhealthy_count
However, there is a small issue in the query above. The `ObservationTime` node (aliased as `t`) is not included in the `MATCH` clause. We need to include it and adjust the `WHERE` clause accordingly:

MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location),
      (p)-[:OBSERVED_AT]->(t:ObservationTime)
WHERE l.prefecture_en = 'Fukui Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
  AND t.season = 'Spring'
WITH s.stationname_en AS station, s.stationtype_en AS type, count(DISTINCT p) AS unhealthy_count
ORDER BY unhealthy_count DESC
RETURN station, type, unhealthy_count",0.0,0.0,0.0,0.0,0.0,0,0,18.178,execution_failure,SyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'However': expected an expressi,0,1
q035,station_filtering,complex,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
-[:AT_LOCATION]-(t:ObservationTime)
WHERE l.prefecture_en = 'Miyagi Prefecture'
  AND t.season = 'Winter'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
WITH s.stationname_en AS station, s.stationtype_en AS type, count(DISTINCT p) AS unhealthy_count
ORDER BY unhealthy_count DESC
RETURN station, type, unhealthy_count",1.0,1.0,0.0,0.3158,0.3158,0,0,16.985,executed,,0,1
q036,station_filtering,medium,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Nagano Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
WITH s.stationname_en AS station, s.stationtype_en AS type, count(p) AS unhealthy_count
ORDER BY unhealthy_count DESC
RETURN station, type, unhealthy_count",1.0,1.0,0.0,0.8,0.8,0,0,11.267,executed,,0,1
q038,station_filtering,complex,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Niigata Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
  AND (p)-[:OBSERVED_AT]->(t:ObservationTime {season: 'Autumn'})
RETURN s.stationname_en AS station,
       s.stationtype_en AS type,
       count(DISTINCT p) AS unhealthy_count
ORDER BY unhealthy_count DESC",0.0,0.0,0.0,0.0,0.0,0,0,13.719,execution_failure,SyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: PatternExpressions are not allowed to introdu,0,1
q039,station_filtering,medium,1,JP01,"MATCH (p:ObservedPM25)-[:RECORDED_BY]->(s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Kochi Prefecture'
  AND p.pm25_level IN ['Unhealthy', 'Very Unhealthy', 'Slightly Unhealthy']
WITH s.stationname_en AS station, s.stationtype_en AS type, count(p) AS unhealthy_count
ORDER BY unhealthy_count DESC
RETURN station, type, unhealthy_count",1.0,1.0,0.0,0.8,0.8,0,0,13.267,executed,,0,1
q040,station_filtering,simple,1,JP28,"MATCH (s:Station)-[:LOCATED_AT]->(l:Location)
WHERE l.prefecture_en = 'Hokkaido Prefecture' AND s.stationtype_en = 'General Station'
RETURN s.stationname_en AS station,
       s.stationtype_en AS type,
       l.city_en AS city,
       l.lat AS lat,
       l.lon AS lon
ORDER BY s.stationname_en",1.0,1.0,0.0,0.3333,0.3333,0,0,9.175,executed,,0,1
q043,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Akita Prefecture'
  AND t.season = 'Winter'
  AND t.year = 2024
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.814,executed,,1,1
q044,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Kumamoto Prefecture'
  AND t.season = 'Winter'
  AND t.year = 2022
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,9.948,executed,,1,1
q045,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Nagasaki Prefecture'
  AND t.year = 2021
  AND t.season = 'Winter'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,9.923,executed,,1,1
q046,aggregate,medium,1,JP02,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Oita Prefecture'
  AND t.year = 2019
  AND t.season = 'Summer'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.785,executed,,1,1
q047,aggregate,medium,1,JP17,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Shizuoka Prefecture'
  AND t.year = 2025
  AND p.pm25 >= 0 AND p.pm25 <= 500
WITH p.pm25_level AS level, count(p) AS cnt
ORDER BY level
RETURN level, cnt",1.0,1.0,0.0,0.8182,0.8182,0,0,14.21,executed,,0,1
q048,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Shimane Prefecture'
  AND t.season = 'Winter'
  AND t.year = 2019
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.583,executed,,1,1
q049,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Ibaraki Prefecture'
  AND t.season = 'Winter'
  AND t.year = 2019
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,9.819,executed,,1,1
q050,aggregate,medium,1,JP02,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Mie Prefecture'
  AND t.season = 'Spring'
  AND t.year = 2025
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.105,executed,,1,1
q051,aggregate,medium,1,JP14,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Nagasaki Prefecture'
  AND t.year = 2023
  AND t.season = 'Spring'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.8,0.8,0,0,9.836,executed,,1,1
q052,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Yamaguchi Prefecture'
  AND t.season = 'Winter'
  AND t.year = 2022
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.8,0.8,0,0,10.605,executed,,1,1
q053,aggregate,medium,1,JP02,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Shiga Prefecture'
  AND t.year = 2021
  AND t.season = 'Autumn'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.905,executed,,1,1
q055,aggregate,medium,1,JP02,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Mie Prefecture'
  AND t.year = 2021
  AND t.season = 'Spring'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,9.803,executed,,1,1
q056,aggregate,medium,1,JP02,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Saitama Prefecture'
  AND t.year = 2019
  AND t.season = 'Autumn'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.031,executed,,1,1
q057,aggregate,medium,1,JP07,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Fukuoka Prefecture'
  AND t.year = 2024
  AND t.season = 'Summer'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,11.239,executed,,1,1
q059,aggregate,medium,1,JP14,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Kyoto Prefecture'
  AND t.year = 2018
  AND t.season = 'Spring'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.8,0.8,0,0,10.189,executed,,1,1
q060,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Oita Prefecture'
  AND t.season = 'Winter'
  AND t.year = 2025
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.752,executed,,1,1
q061,aggregate,medium,1,JP14,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Okinawa Prefecture'
  AND t.year = 2018
  AND t.season = 'Summer'
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.8,0.8,0,0,10.506,executed,,1,1
q062,aggregate,medium,1,JP05,"MATCH (p:ObservedPM25)-[:OBSERVED_AT]->(t:ObservationTime)-[:AT_LOCATION]->(l:Location)
WHERE l.prefecture_en = 'Osaka Prefecture'
  AND t.season = 'Winter'
  AND t.year = 2023
  AND p.pm25 >= 0 AND p.pm25 <= 500
RETURN l.prefecture_en AS prefecture,
       round(avg(p.pm25), 2) AS avg_pm25,
       count(p) AS total_readings",1.0,1.0,0.0,0.6667,0.6667,0,0,10.734,executed,,1,1
